valid_species_id,family,operational_genus,species,species_authority,operational_feeding,operational_fixation,operational_mobility,operational_substrate,bathymetry_min,operational_bathymetry_min,size,range_SST_Huang
112908,Anomiidae,Pododesmus,n.sp. cf. rudis (Broderip 1834),of von Cosel & Gofas 2019,suspension,attached,immobile,epifaunal,0,0,49.9599839871872,11.92624927
106277,Anomiidae,Pododesmus,pernoides,(Gray 1853),suspension,attached,immobile,epifaunal,0,0,74.2462120245875,12.082243532
106276,Anomiidae,Pododesmus,rudis,(Broderip 1834),suspension,attached,immobile,epifaunal,0,0,75.8946638440411,24.219251972
100324,Arcidae,Acar,abdita,Oliver & Chesney 1994,suspension,attached,mobile,epifaunal,0,0,7.74596669241483,8.32076909
100325,Arcidae,Acar,agulhasensis,(Thiele in Thiele & Jaeckel 1931),suspension,attached,mobile,epifaunal,80,80,13.0384048104053,11.42270999
100327,Arcidae,Acar,bailyi,Bartsch 1931,suspension,attached,mobile,epifaunal,0,0,7.87400787401181,20.93696993
100328,Arcidae,Acar,botanica,(Hedley 1917),suspension,attached,mobile,epifaunal,1,1,10.2469507659596,12.06342307
100330,Arcidae,Acar,clathrata,(DeFrance 1816),suspension,attached,mobile,epifaunal,20,20,11.2915897906362,22.861666644
112031,Arcidae,Acar,congenita,(E.A. Smith 1885),suspension,attached,mobile,epifaunal,20,20,26.153393661244,21.758552404
102136,Arcidae,Acar,decorata,(Hayami & Kase 1993),suspension,attached,mobile,epifaunal,4,4,1.40712472794703,8.32806473
100332,Arcidae,Acar,domingensis,(Lamarck 1819),suspension,attached,mobile,epifaunal,0,0,25.7875939164553,19.91667863
100334,Arcidae,Acar,gradata,(Broderip & Sowerby 1829),suspension,attached,mobile,epifaunal,0,0,28.7071419685067,15.72467299
111860,Arcidae,Acar,lepidoformis,"Francisco, Barros & Lima 2012",suspension,attached,mobile,epifaunal,141,141,8.72066511224918,8.73923078
105068,Arcidae,Acar,marsupialis,Oliver & Holmes 2004,suspension,attached,mobile,epifaunal,17,17,2.10656117879353,4.56530997
111859,Arcidae,Acar,naturezae,"Francisco, Barros & Lima 2012",suspension,attached,mobile,epifaunal,100,100,9.79795897113271,3.18248783
111861,Arcidae,Acar,oliveirae,"Francisco, Barros & Lima 2012",suspension,attached,mobile,epifaunal,70,70,3.71483512420134,3.00158311
111624,Arcidae,Acar,olivercoseli,Huber 2010,suspension,attached,mobile,epifaunal,1,1,19.7484176581315,11.92624927
100337,Arcidae,Acar,petasion,Kilburn 1983,suspension,attached,mobile,epifaunal,0,0,10.816653826392,12.34651101
100338,Arcidae,Acar,plicata,(Dillwyn 1817),suspension,attached,mobile,epifaunal,0,0,37.9473319220206,34.40643638
100340,Arcidae,Acar,pusilla,(Sowerby 1833),suspension,attached,mobile,epifaunal,0,0,9.16515138991168,10.54688723
100341,Arcidae,Acar,rostae,Berry 1954,suspension,attached,mobile,epifaunal,0,0,26.1629509039023,15.78059592
100342,Arcidae,Acar,sandersonae,(Powell 1933),suspension,attached,mobile,epifaunal,0,0,16.0078105935821,14.513740292
100343,Arcidae,Acar,sociella,(Brookes 1926),suspension,attached,mobile,epifaunal,NA,5,3.3166247903554,10.89303033
100344,Arcidae,Acar,squamosa,(Lamarck 1819),suspension,attached,mobile,epifaunal,2,2,25.7138095194003,12.84839524
102386,Arcidae,Acar,transmar,Simone 2009,suspension,attached,mobile,epifaunal,2,2,3.33616546352246,2.0194216
100139,Arcidae,Anadara,adamsi,(Olsson 1961),suspension,attached,immobile,infaunal,0,0,25.0998007960223,13.38817103
100140,Arcidae,Anadara,antiquata,(Linnaeus 1758),suspension,attached,immobile,infaunal,0,0,74.0701694341251,23.38757563
100141,Arcidae,Anadara,auriculata,(Lamarck 1819),suspension,attached,immobile,infaunal,5,5,67.1565335615233,20.60368675
112458,Arcidae,Anadara,crassicostata,(H. Adams 1873),suspension,attached,immobile,infaunal,NA,NA,54.3588079339494,5.57451631
101183,Arcidae,Anadara,crebricostata,(Reeve 1844),suspension,attached,immobile,infaunal,0,0,67.3498329619309,15.57399379
113060,Arcidae,Anadara,fultoni,(Sowerby III 1908),suspension,attached,immobile,infaunal,0,0,60.2029899589713,14.82950664
100148,Arcidae,Anadara,geissei,(Dunker 1891),suspension,attached,immobile,infaunal,3,3,60,12.50524945
100194,Arcidae,Anadara,gubernaculum,(Reeve 1844),suspension,attached,immobile,infaunal,1,1,37.2679486958969,20.47833343
112522,Arcidae,Anadara,hemidesmos,(Philippi 1845),suspension,attached,immobile,infaunal,1,1,38.0988188793301,3.20424247
112759,Arcidae,Anadara,jousseaumei,(Lamy 1907),suspension,attached,immobile,infaunal,0,0,28.8575813262304,2.77376367
100183,Arcidae,Anadara,notabilis,(Roeding 1798),suspension,attached,immobile,infaunal,0.5,0.5,80.2496105909555,19.08009618
110605,Arcidae,Anadara,passa,Iredale 1939,suspension,attached,immobile,infaunal,NA,NA,48.5880643779931,11.12764706
112757,Arcidae,Anadara,pumila,(Dunker 1868),suspension,attached,immobile,infaunal,NA,5,19.6773982019982,4.88370123
112755,Arcidae,Anadara,rugifera,(Dunker 1866),suspension,attached,immobile,infaunal,1,1,71.4352853987439,7.99903724
113061,Arcidae,Anadara,setigericosta,(Nyst 1848),suspension,attached,immobile,infaunal,NA,NA,35.1178017535267,3.35186455
100154,Arcidae,Anadara,similis,(C.B. Adams 1852),suspension,attached,immobile,infaunal,0,0,57.8463481993462,11.38271289
112547,Arcidae,Anadara,subrubra,(Dunker 1866),suspension,attached,immobile,infaunal,1,1,77.1318351914435,17.30743323
100156,Arcidae,Anadara,trapezia,(Deshayes 1839),suspension,attached,immobile,infaunal,1,1,65.3146231712317,22.599333483
100157,Arcidae,Anadara,tuberculosa,(Sowerby 1833),suspension,attached,immobile,infaunal,0,0,90.8553795875621,15.88000044
100158,Arcidae,Anadara,uropigimelana,(Bory de St. Vincent 1824),suspension,attached,immobile,infaunal,8,8,62.2382519034717,20.31424225
100243,Arcidae,Arca,bouvieri,Fischer 1874,suspension,attached,immobile,epifaunal,2,2,47.3286382647969,11.92624927
102044,Arcidae,Arca,excavata,(Hayami & Kase 1993),suspension,attached,immobile,epifaunal,4,4,2.96647939483827,8.34024786
100246,Arcidae,Arca,kauaia,"(Dall, Bartsch & Rehder 1938)",suspension,attached,immobile,epifaunal,50,50,14.2807562824943,5.8282824
104179,Arcidae,Arca,koumaci,Lutaenko & Maestrati 2007,suspension,attached,immobile,epifaunal,10,10,8.83176086632785,10.47875003
100249,Arcidae,Arca,navicularis,Bruguiere 1789,suspension,attached,immobile,epifaunal,0,0,72.0416546173115,32.627575601
100250,Arcidae,Arca,noae,Linnaeus 1758,suspension,attached,immobile,epifaunal,0,0,79.466219238114,23.540000356
100251,Arcidae,Arca,pacifica,(Sowerby 1833),suspension,attached,immobile,epifaunal,0,0,92.8137920785483,16.96133355
100252,Arcidae,Arca,symphenacis,Oliver & Chesney 1994,suspension,attached,immobile,epifaunal,NA,NA,40.1497197997695,10.92754122
100255,Arcidae,Arca,ventricosa,Lamarck 1819,suspension,attached,immobile,epifaunal,0,0,90.6642156531451,32.627575601
100256,Arcidae,Arca,zebra,(Swainson 1833),suspension,attached,immobile,epifaunal,0,0,72.59752061882,19.91667863
110654,Arcidae,Asperarca,magdalenae,La Perna 1998,suspension,attached,mobile,epifaunal,20,20,2.86356421265527,22.861666644
100421,Arcidae,Asperarca,nodulosa,(Mueller 1776),suspension,attached,mobile,epifaunal,18,18,11.6189500386223,27.580571286
105912,Arcidae,Asperarca,sagrinata,(Dall 1886),suspension,attached,mobile,epifaunal,146,146,7.48331477354788,15.46878783
101885,Arcidae,Asperarca,secreta,La Perna 1998,suspension,attached,mobile,epifaunal,50,50,5.03487835006964,22.861666644
100346,Arcidae,Barbatia,barbata,(Linnaeus 1758),suspension,attached,mobile,epifaunal,0,0,82.6316525309763,23.540000356
100347,Arcidae,Barbatia,benthicola,(Iredale 1939),suspension,attached,mobile,epifaunal,35,35,20.6494551986245,6.01557706
100349,Arcidae,Barbatia,cancellaria,(Lamarck 1819),suspension,attached,mobile,epifaunal,0,0,74.1619848709566,17.72206152
100353,Arcidae,Barbatia,cometa,(Reeve 1844),suspension,attached,mobile,epifaunal,0,0,30.3347984994132,18.83936288
100355,Arcidae,Barbatia,decussata,(Sowerby 1833),suspension,attached,mobile,epifaunal,1,1,46.5832587954085,34.40643638
105066,Arcidae,Barbatia,diphaeonotus,Oliver & Holmes 2004,suspension,attached,mobile,epifaunal,13,13,4.82887150377808,5.02607472
106453,Arcidae,Barbatia,ectocomata,(Dall 1886),suspension,attached,mobile,epifaunal,150,150,33.9116499156263,6.46464284
104054,Arcidae,Barbatia,fusca,(Bruguiere 1792),suspension,attached,mobile,epifaunal,0,0,58.7877538267963,32.627575601
100356,Arcidae,Barbatia,gabonensis,Oliver & von Cosel 1992a,suspension,attached,mobile,epifaunal,90,90,22.5831795812724,8.4276364
100357,Arcidae,Barbatia,hachijoensis,"Hatai, Niino & Kotaka 1952",suspension,attached,mobile,epifaunal,50,50,21.5638586528478,18.986936917
100359,Arcidae,Barbatia,ionthados,Oliver & von Cosel 1992a,suspension,attached,mobile,epifaunal,100,100,14.4913767461894,11.5963716
100360,Arcidae,Barbatia,lacerata,(Bruguiere 1789),suspension,attached,mobile,epifaunal,0,0,78.1024967590665,25.355075444
100362,Arcidae,Barbatia,lurida,(Sowerby 1833),suspension,attached,mobile,epifaunal,0,0,38.8844441904472,15.88000044
100363,Arcidae,Barbatia,molokaia,"(Dall, Bartsch & Rehder 1938)",suspension,attached,mobile,epifaunal,10,10,12.7279220613579,20.129449147
100365,Arcidae,Barbatia,novaezealandiae,(E.A. Smith 1915),suspension,attached,mobile,epifaunal,3,3,75.3657747256671,14.513740292
100366,Arcidae,Barbatia,oahua,"Dall, Bartsch & Rehder 1938",suspension,attached,mobile,epifaunal,0,0,48.6939421283593,3.43599318
100368,Arcidae,Barbatia,parva,(Sowerby 1833),suspension,attached,mobile,epifaunal,0,0,10.9544511501033,20.31424225
100369,Arcidae,Barbatia,parvivillosa,(Iredale 1939),suspension,attached,mobile,epifaunal,NA,5,38.7298334620742,13.09111107
100370,Arcidae,Barbatia,perinesa,Oliver & Chesney 1994,suspension,attached,mobile,epifaunal,1,1,14.8323969741913,17.21471834
100371,Arcidae,Barbatia,pistachia,(Lamarck 1819),suspension,attached,mobile,epifaunal,1,1,41.046315303569,21.06885968
105067,Arcidae,Barbatia,pyrrhotus,Oliver & Holmes 2004,suspension,attached,mobile,epifaunal,14,14,5.27456159315634,5.02607472
100372,Arcidae,Barbatia,revelata,(Deshayes 1863),suspension,attached,mobile,epifaunal,0,0,41.9523539268061,10.44305703
100373,Arcidae,Barbatia,setigera,(Reeve 1844),suspension,attached,mobile,epifaunal,1,1,48,20.31424225
100374,Arcidae,Barbatia,stearnsii,(Pilsbry 1895),suspension,attached,mobile,epifaunal,0,0,35.1781181986757,28.698333221
100375,Arcidae,Barbatia,sulcata,(Lamarck 1819),suspension,attached,mobile,epifaunal,0,0,33.2264954516723,32.627575601
100377,Arcidae,Barbatia,terebrans,(Iredale 1939),suspension,attached,mobile,epifaunal,NA,5,11.0163514831363,13.49304857
100378,Arcidae,Barbatia,trapezina,(Lamarck 1819),suspension,attached,mobile,epifaunal,10,10,44.9030065808516,32.627575601
100406,Arcidae,Bathyarca,adelaideana,(Iredale 1929),suspension,attached,immobile,infaunal,165,165,3.63318042491699,7.77141922
100407,Arcidae,Bathyarca,anaclima,(Melvill & Standen 1907),suspension,attached,immobile,infaunal,73,73,2.73861278752583,17.82158684
100408,Arcidae,Bathyarca,cybaea,(Hedley 1906),suspension,attached,immobile,infaunal,45,45,3.46410161513775,14.513740292
100411,Arcidae,Bathyarca,frielei,(Jeffreys 1877),suspension,attached,immobile,infaunal,18,18,14.8791800849375,25.9297601
100409,Arcidae,Bathyarca,glacialis,(Gray 1824),suspension,attached,immobile,infaunal,5,5,28.5096474899287,21.42491014
105910,Arcidae,Bathyarca,glomerula,(Dall 1881),suspension,attached,immobile,infaunal,110,110,8.5,18.08465027
100412,Arcidae,Bathyarca,japonica,Habe 1977,suspension,attached,immobile,infaunal,50,50,10.2469507659596,28.698333221
112371,Arcidae,Bathyarca,kyurokusimana,(Nomura & Hatai 1940),suspension,attached,immobile,infaunal,20,20,3.86781592116274,29.880238
112782,Arcidae,Bathyarca,lucida,Poppe et al. 2018,suspension,attached,immobile,infaunal,100,100,9.91362698511498,3.83075748
100261,Arcidae,Bathyarca,minima,(Nyst 1848),suspension,attached,immobile,infaunal,11,11,8.94427190999916,5.39506501
111874,Arcidae,Bathyarca,orientalis,(Thiele 1931),suspension,attached,immobile,infaunal,110,110,3.74165738677394,11.28622282
100413,Arcidae,Bathyarca,pectunculoides,(Scacchi 1834),suspension,attached,immobile,infaunal,9,9,14.4913767461894,30.46390247
100414,Arcidae,Bathyarca,perversidens,Hedley 1902,suspension,attached,immobile,infaunal,41,41,2.85043856274784,10.03643144
111916,Arcidae,Bathyarca,philippiana,(Nyst 1848),suspension,attached,immobile,infaunal,2,2,11.7728501222091,22.861666644
105911,Arcidae,Bathyarca,polycyma,(Dall 1881),suspension,attached,immobile,infaunal,168,168,7.64852927038918,2.43605978
112009,Arcidae,Bentharca,hawaiensis,"Dall, Bartsch & Rehder 1938",suspension,attached,immobile,epifaunal,20,20,26.7207784317748,3.59198342
100382,Arcidae,Calloarca,alternata,(Sowerby 1833),suspension,attached,immobile,epifaunal,10,10,33.5857112474933,16.44182409
100384,Arcidae,Calloarca,cibotina,(Melvill & Standen 1907),suspension,attached,immobile,epifaunal,80,80,8.36660026534076,16.11900418
100394,Arcidae,Calloarca,colpodes,(Kilburn 1983),suspension,attached,immobile,epifaunal,70,70,5.91607978309962,7.22272928
100385,Arcidae,Calloarca,nuttingi,"(Dall, Bartsch & Rehder 1938)",suspension,attached,immobile,epifaunal,0,0,5.29150262212918,11.46033325
100386,Arcidae,Calloarca,sculpturata,"(Turton, 1932)",suspension,attached,immobile,epifaunal,20,20,11.6189500386223,13.62391616
112372,Arcidae,Calloarca,soyoae,(Habe 1958),suspension,attached,immobile,epifaunal,40,40,24.4948974278318,29.619652552
100376,Arcidae,Calloarca,tamikoae,(Sakurai 1969),suspension,attached,immobile,epifaunal,50,50,9.16515138991168,16.67810891
100387,Arcidae,Calloarca,tenella,(Reeve 1843),suspension,attached,immobile,epifaunal,1,1,28.3354901139896,32.882575626
100388,Arcidae,Calloarca,tetraquetra,Kilburn 1983,suspension,attached,immobile,epifaunal,30,30,10.5830052442584,7.31159329
100389,Arcidae,Cucullaearca,candida,(Helbling 1799),suspension,attached,mobile,epifaunal,0,0,76.1577310586391,23.38635942
100390,Arcidae,Cucullaearca,complanata,(Bruguiere 1789),suspension,attached,mobile,epifaunal,0,0,38.0788655293195,11.41550594
100391,Arcidae,Cucullaearca,foliata,(Forsskal 1775),suspension,attached,mobile,epifaunal,0,0,53.5957087834465,22.87424235
100380,Arcidae,Cucullaearca,grayana,(Dunker 1867),suspension,attached,mobile,epifaunal,NA,NA,45.4400704224806,13.7685616
100364,Arcidae,Cucullaearca,multivillosa,(Iredale 1939),suspension,attached,mobile,epifaunal,0,0,45.9565011723042,13.24571418
100393,Arcidae,Cucullaearca,reeveana,(d'Orbigny 1846),suspension,attached,mobile,epifaunal,0,0,82.4621125123532,17.82958357
100159,Arcidae,Cunearca,aequatoralis,(d'Orbigny 1846),suspension,attached,mobile,infaunal,0,0,42.0285617170038,16.44182409
101203,Arcidae,Cunearca,axelolssoni,Macsotay in Macsotay & Campos 2001,suspension,attached,mobile,infaunal,4,4,51.1781545192868,7.20760924
100162,Arcidae,Cunearca,bifrons,(Carpenter 1857),suspension,attached,mobile,infaunal,5,5,56.1248608016091,16.11349055
100163,Arcidae,Cunearca,brasiliana,(Lamarck 1819),suspension,attached,mobile,infaunal,0,0,70,19.08009618
100164,Arcidae,Cunearca,chemnitzii,(Philippi 1851),suspension,attached,mobile,infaunal,11,11,50.4571104999087,19.28389474
112090,Arcidae,Cunearca,corrugata,(Lamy 1907),suspension,attached,mobile,infaunal,10,10,39.4715087119811,13.6103454
100168,Arcidae,Cunearca,esmeralda,(Pilsbry & Olsson 1941),suspension,attached,mobile,infaunal,20,20,60.0824433591045,14.49458329
100171,Arcidae,Cunearca,perlabiata,(Grant & Gale 1931),suspension,attached,mobile,infaunal,0,0,48.3735464897913,16.05756762
100173,Arcidae,Cunearca,reinharti,(Lowe 1935),suspension,attached,mobile,infaunal,2,2,65.6597289059283,16.2046156
100422,Arcidae,Deltaodon,rubrotincta,(Kuroda & Habe in Habe 1958),suspension,attached,mobile,epifaunal,100,100,12.6491106406735,22.218446862
102581,Arcidae,Deltaodon,tugelae,Bernard 1962,suspension,attached,mobile,epifaunal,70,70,18.3303027798234,20.60368675
100395,Arcidae,Destacar,metella,(Hedley 1917),suspension,attached,mobile,infaunal,151,151,13.2476412994918,13.33563117
100187,Arcidae,Diluvarca,biangulata,(Sowerby 1833),suspension,attached,immobile,epifaunal,5,5,56.1106050582241,14.49458329
111869,Arcidae,Diluvarca,consociata,(E.A. Smith 1885),suspension,attached,immobile,epifaunal,15,15,32.0312347560939,15.75297852
100144,Arcidae,Diluvarca,corbuloides,(Monterosato 1878),suspension,attached,immobile,epifaunal,10,10,66.751629193601,22.861666644
100182,Arcidae,Diluvarca,ferruginea,(Reeve 1844),suspension,attached,immobile,epifaunal,9,9,55.3398590529466,16.11900418
113041,Arcidae,Diluvarca,gibbosa,(Reeve 1844),suspension,attached,immobile,epifaunal,22,22,48.0624593627917,22.861666644
100149,Arcidae,Diluvarca,mazatlanica,(Hertlein & Strong 1943),suspension,attached,immobile,epifaunal,7,7,65.7563685128673,14.16168866
112719,Arcidae,Diluvarca,pygmaea,(H. Adams 1872),suspension,attached,immobile,epifaunal,20,20,26.3294511906344,16.4720005
112091,Arcidae,Diluvarca,secernenda,(Lamy 1907),suspension,attached,immobile,epifaunal,15,15,42.1689459199539,17.72206152
112699,Arcidae,Diluvarca,tricenicosta,(Nyst 1848),suspension,attached,immobile,epifaunal,14,14,65.3146231712317,22.471179571
100397,Arcidae,Fugleria,illota,(Sowerby 1833),suspension,attached,mobile,epifaunal,0,0,40.7124059716446,16.44182409
100398,Arcidae,Fugleria,tenera,(C.B. Adams 1845),suspension,attached,mobile,epifaunal,0,0,31.6227766016838,19.08009618
100918,Arcidae,Hawaiarca,alai,"Dall, Bartsch & Rehder 1938",suspension,attached,mobile,epifaunal,68,68,8.52994724485445,11.65534854
111888,Arcidae,Hawaiarca,innocens,(E.A. Smith 1906),suspension,attached,mobile,epifaunal,25,25,19.0835007270679,5.49848437
101436,Arcidae,Hawaiarca,rectangula,"(Dall, Bartsch & Rehder 1938)",suspension,attached,mobile,epifaunal,25,25,12.2474487139159,5.98246426
101437,Arcidae,Hawaiarca,uwaensis,(Yokoyama 1928),suspension,attached,mobile,epifaunal,20,20,15.556349186104,28.698333221
104075,Arcidae,Hawaiarca,weberi,Prashad 1932,suspension,attached,mobile,epifaunal,32,32,13.717871555019,4.90525013
101438,Arcidae,Hawaiarca,wendti,(Lamy 1907),suspension,attached,mobile,epifaunal,NA,NA,20.4470046706113,13.22500038
100396,Arcidae,Hawaiarca,yamamotoi,(Sakura & Habe in Habe 1961),suspension,attached,mobile,epifaunal,50,50,14.0712472794703,28.698333221
112265,Arcidae,Imparilarca,angicostata,(Reeve 1844),suspension,attached,mobile,infaunal,0,0,27.2488531868774,7.82405654
100166,Arcidae,Imparilarca,craticulata,(Nyst 1848),suspension,attached,mobile,infaunal,22,22,23.473389188611,19.65217969
100147,Arcidae,Imparilarca,ehrenbergi,(Dunker 1868),suspension,attached,mobile,infaunal,17,17,68.9799971006088,18.38328981
101544,Arcidae,Imparilarca,kikaizimana,(Nomura & Zinbo 1934),suspension,attached,mobile,infaunal,10,10,29.0516780926679,22.051666787
105091,Arcidae,Imparilarca,rotundicostata,(Reeve 1843),suspension,attached,mobile,infaunal,12,12,60.3738353924943,19.93000011
100241,Arcidae,Lamarcka,avellana,(Lamarck 1819),suspension,attached,immobile,epifaunal,0,0,43.8862165149834,34.40643638
100245,Arcidae,Lamarcka,imbricata,(Bruguiere 1789),suspension,attached,immobile,epifaunal,0,0,49.1121166312347,19.91667863
100248,Arcidae,Lamarcka,mutabilis,(Sowerby I 1833),suspension,attached,immobile,epifaunal,0,0,38.6895334683684,16.96133355
100254,Arcidae,Lamarcka,truncata,(Sowerby 1833),suspension,attached,immobile,epifaunal,0,0,52.9150262212918,17.2828208
111692,Arcidae,Lamarcka,turbatrix,(Oliver & von Cosel 1992),suspension,attached,immobile,epifaunal,0,0,40.1497197997695,11.10581093
113062,Arcidae,Lamarcka,volucris,(Reeve 1844),suspension,attached,immobile,epifaunal,0,0,38.8580750938592,6.18257559
100176,Arcidae,Larkinia,grandis,(Broderip & Sowerby 1829),suspension,unattached,mobile,infaunal,0,0,140.644232018238,14.67843744
100177,Arcidae,Larkinia,multicostata,(Sowerby 1833),suspension,unattached,mobile,infaunal,0,0,126.419935136829,16.96133355
101690,Arcidae,Litharca,lithodomus,(Sowerby 1833),suspension,attached,immobile,infaunal,0,0,46.2493243193887,11.08114584
101732,Arcidae,Lunarca,brevifrons,(Sowerby 1833),suspension,attached,mobile,infaunal,0,0,34.6366857536919,14.49458329
101733,Arcidae,Lunarca,ovalis,(Bruguiere 1789),suspension,attached,mobile,infaunal,1,1,70.1227495182555,19.45267739
100180,Arcidae,Mabellarca,dautzenbergi,(Lamy 1907),suspension,attached,immobile,infaunal,11,11,26.0768096208106,18.83936288
112369,Arcidae,Mimarcaria,aizoi,(Sakurai 1969),suspension,attached,mobile,epifaunal,40,40,24.0595095544361,17.42986675
101889,Arcidae,Mimarcaria,matsumotoi,Habe 1958,suspension,attached,mobile,epifaunal,54,54,8.53229160308062,28.698333221
101890,Arcidae,Mimarcaria,saviolum,Iredale 1939,suspension,attached,mobile,epifaunal,150,150,8.48528137423857,11.2155173
100192,Arcidae,Mosambicarca,erythraeonensis,(Jonas in Philippi 1851),suspension,attached,mobile,infaunal,1,1,78.7400787401181,18.48323599
100203,Arcidae,Mosambicarca,mosambicana,(Bianconi 1856),suspension,attached,mobile,infaunal,NA,NA,65.5209890035247,8.33258739
112030,Arcidae,Nipponarca,adamsiana,(Dunker 1866),suspension,attached,immobile,epifaunal,1,1,29.1787593978908,28.973846251
100399,Arcidae,Nipponarca,allocostata,Oliver & von Cosel 1992a,suspension,attached,immobile,epifaunal,0,0,25.0998007960223,8.3112495
100400,Arcidae,Nipponarca,bistrigata,(Dunker 1866),suspension,attached,immobile,epifaunal,0,0,37.8985487848809,31.49719418
102467,Arcidae,Porterius,dalli,(E. A. Smith 1885),suspension,attached,mobile,epifaunal,20,20,25.0998007960223,29.498422962
112758,Arcidae,Potiarca,bataviensis,(Lamy 1907),suspension,attached,mobile,infaunal,0,0,31.984371183439,7.74121389
100142,Arcidae,Potiarca,camerunensis,Oliver & von Cosel 1992a,suspension,attached,mobile,infaunal,5,5,15.4919333848297,3.0797223
100146,Arcidae,Potiarca,eborensis,Oliver & von Cosel 1992a,suspension,attached,mobile,infaunal,18,18,29.3938769133981,6.9177598
112760,Arcidae,Potiarca,livingstonei,Iredale 1927,suspension,attached,mobile,infaunal,0,0,62.9920629920945,1.36754711
100170,Arcidae,Potiarca,nux,(Sowerby 1833),suspension,attached,mobile,infaunal,4,4,23.4435492193482,14.34554281
100150,Arcidae,Potiarca,obesa,(Sowerby 1833),suspension,attached,mobile,infaunal,10,10,37.0944739819828,14.49458329
100172,Arcidae,Potiarca,pilula,(Reeve 1843),suspension,attached,mobile,infaunal,0,0,39.2300904918661,17.29550735
112756,Arcidae,Potiarca,sabinae,(Morlet 1889),suspension,attached,mobile,infaunal,8,8,24.4948974278318,11.73237266
